,Subject,Fluency_Item,NLL_forage_dynamic_simdrop,NLL_forage_random_baseline,Semantic_Similarity,Frequency_Value,Phonological_Similarity
32,5ef11fdda0736031899eb5dc,possum,7.261312797036545,7.4770384723196965,0.42575,5.440409986,0.0001
33,5ef11fdda0736031899eb5dc,porcupine,5.962746412571673,7.4770384723196965,0.50125,5.580630787,0.2222
34,5ef11fdda0736031899eb5dc,kangaroo,6.793653488131124,7.4770384723196965,0.36741,5.566218227,0.1111
35,5ef11fdda0736031899eb5dc,bat,7.238914109269221,7.4770384723196965,0.19908,6.527307346,0.0001
36,5c3630c83ce2c8000111b504,lion,5.447243379036786,7.4770384723196965,0.0001,6.723957079,0.0001
37,5c3630c83ce2c8000111b504,tiger,4.089323346504446,7.4770384723196965,0.5148,6.38952206,0.25
38,5c3630c83ce2c8000111b504,panther,4.1545685977038564,7.4770384723196965,0.63329,5.886284809,0.2
39,5c3630c83ce2c8000111b504,leopard,4.465402279711356,7.4770384723196965,0.60062,5.875985616,0.0001
40,5c3630c83ce2c8000111b504,gnu,7.4086681794132465,7.4770384723196965,0.22396,5.174251751,0.0001
41,5c3630c83ce2c8000111b504,antelope,5.3633903836432655,7.4770384723196965,0.326,5.845170623,0.1429
42,5c3630c83ce2c8000111b504,elephant,4.588784218618102,7.4770384723196965,0.50722,6.363660295,0.0001
43,5c3630c83ce2c8000111b504,ape,6.28467186417933,7.4770384723196965,0.50547,6.012398914,0.0001
44,5c3630c83ce2c8000111b504,monkey,3.2867120987464906,7.4770384723196965,0.6199,6.401926546,0.0001
45,5c3630c83ce2c8000111b504,orangutan,6.485214186930048,7.4770384723196965,0.54386,4.807399713,0.125
46,5c3630c83ce2c8000111b504,cat,5.131977603415965,7.4770384723196965,0.42879,7.013143358,0.25
47,5c3630c83ce2c8000111b504,dog,2.3035018564418763,7.4770384723196965,0.76099,7.256114028,0.0001
48,5c3630c83ce2c8000111b504,parrot,6.399237464858315,7.4770384723196965,0.44814,5.921096266,0.0001
49,5c3630c83ce2c8000111b504,rabbit,4.25131577034673,7.4770384723196965,0.50771,6.568628649,0.4
50,5c3630c83ce2c8000111b504,mole,7.228021274625709,7.4770384723196965,0.33209,6.347595976,0.0001
51,5c3630c83ce2c8000111b504,vole,7.472195380637578,7.4770384723196965,0.26831,5.130533176,0.5
52,5c3630c83ce2c8000111b504,rhinoceros,8.137416772394625,7.4770384723196965,0.29247,5.506841784,0.125
53,5c3630c83ce2c8000111b504,snake,4.861185976941584,7.4770384723196965,0.41345,6.615078486,0.125
54,5c3630c83ce2c8000111b504,turtle,4.554768752360651,7.4770384723196965,0.56514,6.229758099,0.0001
55,5c3630c83ce2c8000111b504,tortoise,4.631268348861087,7.4770384723196965,0.62908,5.793371249,0.5
56,5c3630c83ce2c8000111b504,dolphin,6.470706074419797,7.4770384723196965,0.41721,5.864843201,0.1667
57,5c3630c83ce2c8000111b504,porpoise,4.911758825104995,7.4770384723196965,0.6555,5.233392128,0.1667
58,5c3630c83ce2c8000111b504,killer_whale,8.201192539543165,7.4770384723196965,0.53672,4.654523069,0.0001
59,5c3630c83ce2c8000111b504,shark,3.257582038888133,7.4770384723196965,0.58891,6.054603863,0.0001
60,5c3630c83ce2c8000111b504,eel,6.530471803366885,7.4770384723196965,0.46075,5.818212033,0.0001
61,5c3630c83ce2c8000111b504,jellyfish,6.05709281944201,7.4770384723196965,0.48232,5.224579675,0.1429
62,5c3630c83ce2c8000111b504,starfish,4.952142409960775,7.4770384723196965,0.56905,5.312262006,0.4286
63,5c3630c83ce2c8000111b504,peacock,6.296842163091987,7.4770384723196965,0.33691,6.002633379,0.0001
64,5c3630c83ce2c8000111b504,macaw,6.630669267575109,7.4770384723196965,0.46021,4.870380493,0.2
65,5c3630c83ce2c8000111b504,lizard,4.507435509026605,7.4770384723196965,0.52368,5.89522027,0.0001
66,63fba9e68d9ff349947fece5,cat,4.803768920529208,7.4770384723196965,0.0001,7.013143358,0.0001
67,63fba9e68d9ff349947fece5,horse,4.375192801413968,7.4770384723196965,0.38148,7.396710537,0.0001
68,63fba9e68d9ff349947fece5,sheep,3.896329386379264,7.4770384723196965,0.47657,6.924172871,0.0001
