id	entry
5b342c9da2982a0001dd9f25	hawk
5b342c9da2982a0001dd9f25	eagle
5b342c9da2982a0001dd9f25	crow
5ba176b4f7e29100014449e2	raccoon
5ba176b4f7e29100014449e2	sloth
5ba176b4f7e29100014449e2	cat
5ba176b4f7e29100014449e2	dog
5ba176b4f7e29100014449e2	hamster
5ba176b4f7e29100014449e2	guineapig
5ba176b4f7e29100014449e2	wolf
5ba176b4f7e29100014449e2	coyote
5ba176b4f7e29100014449e2	deer
5ba176b4f7e29100014449e2	elk
5ba176b4f7e29100014449e2	moose
5ba176b4f7e29100014449e2	snake
5ba176b4f7e29100014449e2	turtle
5ba176b4f7e29100014449e2	frog
5ba176b4f7e29100014449e2	bird
5ba176b4f7e29100014449e2	bobcat
5ba176b4f7e29100014449e2	tiger
5ba176b4f7e29100014449e2	zebra
5ba176b4f7e29100014449e2	hippopotamus
5ba176b4f7e29100014449e2	elephant
5ba176b4f7e29100014449e2	pig
5ba176b4f7e29100014449e2	warthog
5ba176b4f7e29100014449e2	panther
5ba176b4f7e29100014449e2	lynx
5ba176b4f7e29100014449e2	wolf
5ba176b4f7e29100014449e2	giraffe
5ba176b4f7e29100014449e2	ferret
5ba176b4f7e29100014449e2	goat
5ba176b4f7e29100014449e2	sheep
5ba176b4f7e29100014449e2	cow
5bb7716f0b651100015c927f	rhinoceros
5bb7716f0b651100015c927f	walrus
5bb7716f0b651100015c927f	killerwhale
5bb7716f0b651100015c927f	fly
5bb7716f0b651100015c927f	stingray
5bb7716f0b651100015c927f	dragonfly
5bb7716f0b651100015c927f	lion
5bb7716f0b651100015c927f	pig
5bb7716f0b651100015c927f	giraffe
5bb7716f0b651100015c927f	hippopotamus
5bb7716f0b651100015c927f	mosquito
5bb7716f0b651100015c927f	dog
5bb7716f0b651100015c927f	cat
5bb7716f0b651100015c927f	goldfish
5bb7716f0b651100015c927f	seaurchin
5bb7716f0b651100015c927f	swordfish
5bb7716f0b651100015c927f	greatwhiteshark
5bb7716f0b651100015c927f	tigershark
5bb7716f0b651100015c927f	elephant
5bb7716f0b651100015c927f	hyena
5bb7716f0b651100015c927f	penguin
5bb7716f0b651100015c927f	graywolf
5bb7716f0b651100015c927f	blackbear
5bb7716f0b651100015c927f	grizzlybear
5bb7716f0b651100015c927f	polarbear
5bb7716f0b651100015c927f	buffalo
5bb7716f0b651100015c927f	bison
5bb7716f0b651100015c927f	beaver
5bb7716f0b651100015c927f	mongoose
5bb7716f0b651100015c927f	cobra
5bb7716f0b651100015c927f	copperheadsnake
5bb7716f0b651100015c927f	rattlesnake
5bb7716f0b651100015c927f	groundhog
5bb7716f0b651100015c927f	squirrel
5bb7716f0b651100015c927f	rat
5bb7716f0b651100015c927f	mouse
5bb7716f0b651100015c927f	termite
5bd8fabf544d4f000141d94d	cow
5bd8fabf544d4f000141d94d	horse
5bd8fabf544d4f000141d94d	goat
5bd8fabf544d4f000141d94d	lamb
5bd8fabf544d4f000141d94d	otter
5bd8fabf544d4f000141d94d	badger
5bd8fabf544d4f000141d94d	chipmunk
5bd8fabf544d4f000141d94d	rat
5bd8fabf544d4f000141d94d	cat
5bd8fabf544d4f000141d94d	dog
5bd8fabf544d4f000141d94d	giraffe
5bd8fabf544d4f000141d94d	monkey
5bd8fabf544d4f000141d94d	lion
5bd8fabf544d4f000141d94d	tiger
5bd8fabf544d4f000141d94d	anteater
5bd8fabf544d4f000141d94d	sloth
5bd8fabf544d4f000141d94d	wolf
5bd8fabf544d4f000141d94d	fox
5bd9dc9abf1a7800011db1f1	fox
5bd9dc9abf1a7800011db1f1	cow
5bd9dc9abf1a7800011db1f1	pig
5bd9dc9abf1a7800011db1f1	giraffe
5bd9dc9abf1a7800011db1f1	dog
5bd9dc9abf1a7800011db1f1	cat
5bd9dc9abf1a7800011db1f1	mouse
5bd9dc9abf1a7800011db1f1	hamster
5bd9dc9abf1a7800011db1f1	bird
