id,listnum,num_cluster_switches,avg_cluster_size
5e2d96d3bc554937d1b3917a,1,9,1.7
5e2d96d3bc554937d1b3917a,2,7,2.75
5e36f211c5175f000b4038e9,1,9,1.9
5e36f211c5175f000b4038e9,2,8,2.2222222222222223
5e4ccf6b4028e711db748f95,1,16,1.2941176470588236
5e4ccf6b4028e711db748f95,2,13,2.0
5e573ba5ad27610fa25300aa,1,11,1.25
5e573ba5ad27610fa25300aa,2,11,1.5
5e6bdd2a3ea572199bb7f6b6,1,9,1.5
5e6bdd2a3ea572199bb7f6b6,2,9,1.3
5e71037dea647c000ac49f12,1,10,2.3636363636363638
5e71037dea647c000ac49f12,2,16,1.7647058823529411
5e753ccd65c9670a250a019b,1,8,1.2222222222222223
5e753ccd65c9670a250a019b,2,8,1.8888888888888888
5e82279d39ea6d067ea804eb,1,6,1.4285714285714286
5e82279d39ea6d067ea804eb,2,9,1.9
5ea3442e0db9862b6f42935d,1,6,1.2857142857142858
5ea3442e0db9862b6f42935d,2,4,1.6
5ea47bda5b1a9807ed89eb76,1,14,1.8666666666666667
5ea47bda5b1a9807ed89eb76,2,8,2.2222222222222223
5eb087ed7f6d1e1232690d6a,1,7,3.125
5eb087ed7f6d1e1232690d6a,2,5,3.3333333333333335
5ed1d52eea444913b2d4576d,1,8,2.111111111111111
5ed1d52eea444913b2d4576d,2,7,1.75
5ef035131f1b2a546b44c391,1,8,1.8888888888888888
5ef035131f1b2a546b44c391,2,9,2.1
5ef11fdda0736031899eb5dc,1,5,3.1666666666666665
5ef11fdda0736031899eb5dc,2,10,1.2727272727272727
5efd12bb12f04114e442283c,1,10,1.5454545454545454
5efd12bb12f04114e442283c,2,9,2.0
5f0e8b3ec42b54043d5de0ca,1,9,1.5
5f0e8b3ec42b54043d5de0ca,2,8,1.1111111111111112
5f119c5ad521140253f60e86,1,9,1.2
5f119c5ad521140253f60e86,2,5,1.6666666666666667
5f1215c24862ae13032bad4e,1,18,1.631578947368421
5f1215c24862ae13032bad4e,2,24,1.32
5f15679513afe8025c820671,1,15,2.125
5f15679513afe8025c820671,2,17,1.9444444444444444
5f2a43a95f057c229165aeed,1,12,2.076923076923077
5f2a43a95f057c229165aeed,2,13,2.0714285714285716
5f402eb4fbd8df145068b805,1,15,2.125
5f402eb4fbd8df145068b805,2,14,2.0
5f511ab38505ac2e8fbfac5e,1,11,2.5
5f511ab38505ac2e8fbfac5e,2,12,2.4615384615384617
5f63a1e5192b540bf182227d,1,13,1.6428571428571428
5f63a1e5192b540bf182227d,2,9,2.0
5f77c6a1a110ce346dc016ec,1,10,1.6363636363636365
5f77c6a1a110ce346dc016ec,2,8,1.8888888888888888
5f7f8c5995690d14b8e136bb,1,12,1.7692307692307692
5f7f8c5995690d14b8e136bb,2,10,2.3636363636363638
5f850cd39e097f1f273a755d,1,12,1.9230769230769231
5f850cd39e097f1f273a755d,2,15,2.0
5fbd74fba75aff164f4a5de8,1,17,1.7222222222222223
5fbd74fba75aff164f4a5de8,2,15,1.8125
5fc1fd0f60e49e305afcc6a5,1,11,2.5
5fc1fd0f60e49e305afcc6a5,2,10,1.7272727272727273
5fc27b5a13285c0008cc71ab,1,9,2.5
5fc27b5a13285c0008cc71ab,2,12,1.6923076923076923
5fc50bb38378c80ac88354ef,1,8,1.5555555555555556
5fc50bb38378c80ac88354ef,2,9,1.4
5fff3f938921560203546f23,1,17,1.5
5fff3f938921560203546f23,2,13,1.9285714285714286
600692691bca77a0deb8d927,1,14,1.9333333333333333
600692691bca77a0deb8d927,2,8,2.888888888888889
6025b3681ff1521a3369dffe,1,14,1.7333333333333334
6025b3681ff1521a3369dffe,2,10,1.7272727272727273
6029acb673830e93bcc9230f,1,9,2.0
